Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Gibson,2018,Solid Wood,Gibson Les Paul,Les Paul Standard,6 String,Bourbon burst,Solid,Right-Handed,1999.00
Gibson,,Solid Wood,,Les Paul Standard Plus,6 String,Sunburst,Solid,Right-Handed,1495.00
Gibson,2018,Solid Wood,Gibson Les Paul,Les Paul standard premium plus,6 String,Cobalt blue,Solid,Right-Handed,2150.00
Gibson,2017,,Gibson Les Paul,Plus,,,,,900.00
Gibson,,,Gibson SG,SG Special,,,,,1188.00
Gibson,2015,,Gibson Les Paul,special 100 Double Cut,6 String,Vintage Sunburst,Solid,Right-Handed,699.00
Gibson,,,Gibson Les Paul,Les Paul Traditional,,,,,481.00
Gibson,2019,,,,,,,,1550.00
Gibson,2005,,Studio,,,,,,900.00
Gibson,,,Gibson Les Paul,Les paul Taditional 1960,,,,,1485.00
Gibson,2017,Mahogany,Gibson Les Paul,Les Paul Classic,6 String,Gold,Solid,Right-Handed,1500.00
Gibson,2018,,Gibson Les Paul,Custom,6 String,Gold,Solid,Right-Handed,5999.00
Gibson,1997,,,Custom,,Black,,,3200.00
Gibson,2007,Solid Wood,Gibson Les Paul,Les Paul Gold Top,6 String,Gold,Solid,Right-Handed,8400.00
Gibson,,,,,,,,,782.13
Gibson SG Style,Pre-1997,Solid Wood,Gibson SG Style,SG,6 String,Cherry,Solid,Right-Handed,6900.00
Gibson,,,,,,,,,1099.00
Gibson,2007,Solid Wood,Gibson Explorer,Explorer GOTW,6 String,Natural,Solid,Right-Handed,1795.00
Gibson,2019,Mahogany,,SG Standard,6 String,Black,Solid,Right-Handed,1096.00
Gibson,,,Gibson ES,ES-125,,,,,1950.00
Gibson,2019,,,ES-339 Satin,6 String,Satin Black,Semi-Hollow,Right-Handed,1999.99
Gibson,,,,1977 RD ARTIST,,,,,2799.99
Gibson,2000,Mahogany,Gibson Les Paul,Les Paul Studio,6 String,Fireburst,Solid,Right-Handed,974.95
Gibson,,,,,,,,,2231.00
,,,,LES PAUL,,,,,2699.99
Gibson,2006,Mahogany,Gibson Les Paul,Les Paul Standard,6 String,Red,Solid,Right-Handed,1995.00
Gibson,2019,Mahogany,Gibson Les Paul,Les Paul Studio,6 String,Multicolor,Solid,Right-Handed,899.00
Gibson,1974,,,1955 Reissue Les Paul,6 String,Sunburst,,,1799.00
Gibson,1968,,Gibson Les Paul Special,1955,6 String,,Solid,,2299.99
Gibson,,,Gibson SG,Vintage,,,,,949.00
Gibson,,Solid Wood,,57 Reissue Goldtop,6 String,Gold,Solid,Right-Handed,2595.00
Gibson,,,,,,,,,1799.00
Gibson,,,,,,,,,2399.00
Gibson,,,,,6 String,Sunburst / Dark Brown,Hollow,,1849.99
Warmoth,2019,Solid Wood,,Telecaster,6 String,Worn Surf Green,Solid,,599.00
Gibson,,,Gibson SG,Vintage,,,,,1299.00
Gibson,1998,,Gibson SG,SG,,,,,999.00
Gibson,2016,Maple,Gibson Les Paul,Les Paul Special,6 String,Tea Burst,Semi-Hollow,Right-Handed,1595.99
Gibson,,Maple,,ES-339,6 String,Cherry,Semi-Hollow,,1999.00
Gibson,,,,,6 String,Fireburst,Solid,,999.99
Gibson,2012,Mahogany,Gibson Les Paul,Les Paul Traditional,6 String,Red,Solid,Right-Handed,1525.00
Gibson,,,,,,,,,2799.00
Gibson,,,,,,,,,1999.00
Gibson,1991,,Gibson Les Paul,Les Paul Studio,6 String,Flametop,Solid,Right-Handed,1799.00
Gibson,,,,,,,,,5499.99
Gibson,2010,Mahogany,Gibson Les Paul,Custom,6 String,White,,Right-Handed,2699.00
Gibson,2014,,Gibson Les Paul,Custom,6 String,Black,Solid,Right-Handed,5000.00
Gibson,1970,Maple,Gibson ES,Vintage,6 String,Walnut,Semi-Hollow,Right-Handed,3199.99
Gibson,2018,,Gibson Les Paul,Les Paul Standard,6 String,Mojave Burst,,,1949.00
Gibson,2014,,Gibson Les Paul,Les Paul Standard,,,,,1750.00
Gibson,,,,,,,,,2399.00
Gibson,2015,,Gibson Les Paul,Les Paul 1958 Standard,,,,,4995.00
Gibson,2012,,,Les Paul Studio Plus,6 String,Blue,Solid,,949.99
Gibson,1981,,,,,,,Right-Handed,2750.00
Gibson,2007,,,,6 String,,Solid,Right-Handed,1595.00
Gibson,2015,,,Les Paul 1958 True Historic,6 String,,,Right-Handed,4999.00
Gibson,,,,,,,,,4949.00
Gibson,2019,,,Gibson Les Paul Modern Heartwood,6 String,,Solid,,3799.00
Gibson,,,,,,,,,1399.00
Gibson,,,,Vintage,,,,,5595.00
Gibson,,,,,,,,,3499.00
Gibson,2018,Mahogany,Gibson Les Paul,Les Paul Traditional,6,Honey Burst,Solid,RH,2199.99
Gibson,,Mahogany,,Longhorn Double Cut,6 String,Multicolor,Solid,Right-Handed,2299.00
,,,,STANDARD,,,,,1899.00
Gibson,2002,Laminated Maple,,ES-333,6 String,,Semi-Hollow,Right-Handed,2299.00
Gibson,,,,Gibson Custom Les Paul Custom Ebony w/ Gold Hardware BLACK BEAUTY,,,,,3519.00
Gibson,2019,,,Firebird Tribute,6 String,,Solid,,1049.99
Gibson,2019,,,SG '61 Standard,6 String,,Solid,,1599.00
Epiphone By Gibson,2015,,,Les Paul Ultra III,6 String,,Solid,,629.00
Gibson,2019,,,Gibson Les Paul 1959 60th Anniversary,6 String,poppy lemon burst,Solid,,5999.00
Gibson,2019,,,SG Standard,6 String,,Solid,,1289.00
Gibson,2017,Mahogany,Gibson Les Paul,Les Paul Classic,6 String,Green,Solid,Right-Handed,1999.99
Gibson,,,Gibson SG,SG Standard,,,,,1100.00
Gibson,2017,Mahogany,Les Paul Studio,Les Paul Studio T,6 String,Black Cherry Burst,Solid,Right-Handed,899.00
Gibson,2001,Mahogany,Custom Shop Historic Reissue,59 Historic Reissue,6 String,Washed Cherry Sunburst,Solid,Right-Handed,8995.00
Gibson,1983,Solid Wood,,Explorer,6 String,Ebony,Solid,,2149.00
Gibson,2015,,Gibson Les Paul,Les Paul Traditional,,,,,1599.00
Gibson,,,,SG,,,,,6970.00
Gibson,2015,Mahogany,,SG Standard 2015,6 String,Heritage Cherry,Solid,Right-Handed,1099.99
Gibson,,,Gibson Les Paul,,,,,Right-Handed,2999.00
Gibson,,,,,,,,,2106.00
Gibson,,,,Les Paul Studio,6 String,White,Solid,Right-Handed,1165.99
Does not apply,,,,,,,,,4599.00
,,,,,,,,,14989.00
Gibson,1973,,,SG Standard,6 String,,,,1920.00
Gibson,2006,Solid Wood,,1959 ES-335 Dotneck,6 String,Sunburst,Solid,,4499.99
Gibson,,Solid Wood,,ES-335,6 String,Sunburst,Hollow,,4600.00
Gibson,1999,,Gibson Les Paul,Les Paul Standard Plaintop,6 String,,Solid,,1949.00
Gibson,2015,Mahogany,,Les Paul Special Double Cut,6 String,Heritage Cherry,Solid,Right-Handed,879.99
Gibson,,,,Derek Trucks,6 String,,Solid,Right-Handed,1599.99
Gibson,,,,,,,,,1049.00
Gibson,,,,Victory CM,6 String,,Solid,Right-Handed,1599.99
Gibson,,,,,,,,,3163.00
Gibson,,,,02201491,,Black,,,2899.99
Gibson,2012,,,Grace Potter Flying V,6 String,Nocturnal Brown,Solid,,2225.00
Gibson,,,,Vintage,6 String,,,,14800.00
Gibson,,Solid Wood,,Custom Shop Elegant SG Figured,6 String,Emerald Green,Solid,,3699.00
Gibson,2009,Solid Wood,,Les Paul Studio,6 String,Wine Red,Solid,,849.00
Gibson,,,,,,,,,999.99
Gibson,,,,Les Paul,6 String,,,Right-Handed,3299.99
Gibson,,,,,,,,,2000.00
Gibson,,,,,,,,,4317.00
Gibson,,,Gibson ES,ES-355,,,,,5999.00
Gibson,2010,,Gibson Les Paul,Les Paul Special,6 String,Red,Solid,Right-Handed,899.99
Gibson,1994,,,Firebird V,6 String,,Solid,Right-Handed,4400.00
Gibson,2010,Mahogany,Gibson Les Paul,2010 Custom Shop Lefty Les Paul,,Cherryburst,Solid,Right-Handed,3299.99
Epiphone,,,,,6 String,Black,,,5000.00
Gibson,2017,Solid Wood,,2017,6,Ice Tea Burst,Solid,,2119.00
Gibson,2018,Solid Wood,,J-45 Standard 2019,6 String,Heritage Cherry Sunburst,,,2599.99
Gibson,2015,,,Firebird Non-Reverse,6 String,Red,Solid,Right-Handed,1500.00
Gibson,,,,,,,,,1407.00
Gibson,,,,,,,,,4592.00
Gibson,,,,,,,,,3356.00
Gibson,,,,,,,,,1252.00
Gibson,,,,,,,,,8452.00
Gibson,,,,B-2 Flying V,,,,,1099.99
Gibson,,,,,,,,,7999.00
Gibson,,,,Les Paul Standard,,,,,2078.00
Gibson,1973/1974,,Gibson Les Paul,Custom,,Black,Fretless,,4499.00
Gibson,2011,,,Dethklok Explorer,6 String,Silverburst,Explorer,Right-Handed,10000.00
GIBSON,2016,Mahogany,,SG,6 String,Worn Brown,Solid,,1300.00
Gibson,,,,2018,6 String,Natural Satin,,,1043.45
Gibson,,,,Firebird Studio,6 String,,Solid,Left-Handed,1399.99
Gibson,,,,EDS-1275,,,,,9162.00
Gibson,2011,Mahogany / Maple Top,,Custom Shop 1958 Les Paul Standard Reissue,6 String,Faded Tobacco,Solid,Right-Handed,3699.99
Gibson,,,,,,,,,3136.00
Gibson,2003,,Gibson Les Paul,Les Paul Standard,6 String,,Solid,,8949.00
Gibson,1957,,,LG-2,6 String,Black,LG,,3495.00
Gibson,,,Gibson Les Paul,,,,,,11000.00
GIBSON MUSICAL INSTRUMENTS,,,,SG HIGH PERFORMANCE,,,,,1999.95
Gibson,2017,Mahogany,SG Special,SG Special,6 String,Red,Solid,,1600.00
Gibson Memphis,2014,Solid Wood,Gibson ES,1959 ES-175D,6 String,Sunburst,Semi Hollow,,3900.00
Gibson,,,,M-4,,,,,1172.00
Gibson,,,,,,,,,8452.00
Gibson,,,,,,,,,4553.00
Gibson,,,,,,,,,6234.00
Gibson,,,,,,,,,3356.00
,,,,,,,,,1622.00
Gibson,2013,Mahogany,,Bill Kelliher Golden Axe Explorer,6 String,Gold Burst,Solid,Right-Handed,2235.00
Gibson,2007,,Gibson SG,,,,,,877.00
Gibson,,,,,,,,,988.00
Gibson,,,,,,,,,2502.00
Gibson,1997,,Studio,,6 String,Red,Solid,Right-Handed,4071.00
Gibson,,,,,,,,,4262.00
Gibson,,,,,,,,,6369.00
Gibson,,,,,,,,,1500.00
Gibson,,,,,,,,,3772.00
Gibson,,,,,,,,,1932.00
Gibson,2005,Maple,Gibson Les Paul,Les Paul Standard,6 String,,,Right-Handed,1987.00
Gibson,,,,,,,,,899.79
Gibson,2013,,Gibson Les Paul,Les Paul Traditional,,,,,1833.00
Orville by Gibson,,Mahogany,,Flying V,6 String,Red,,Right-Handed,1100.00
Gibson,,,,Les Paul Standard,,,Les Paul Standard,,2141.00
GIBSON,,,,,,,,,1475.05
Gibson,,,,,,,,,4136.00
Gibson,,,,,,,,,2700.00
Gibson,,,,,,,,,4689.00
Gibson,,,,,,,,,8745.00
Gibson,,,,,,,,,1760.00
Gibson,,,Gibson Les Paul,Gibson Les Paul HP Prototype Blueberry F,6 String,Prototype Blueberry F,Solid,Right-Handed,6000.00
,,,,,,,,,1222.00
Gibson,,,,,,,,,1578.00
Gibson,2008,,,USA Firebird V Classic,6 String,White,Solid,Right-Handed,1872.00
Gibson,,Mahogany,,Flying V,6 String,Natural,Solid,,957.00
Gibson,2016,,Gibson SG,SG Standard,,,,,1055.00
Gibson,,,,,,,,,4544.00
Gibson,,,,,,,,,6745.00
Gibson,,,,,,,,,5546.00
Gibson,,,,,,,,,1854.00
,,,,,,,,,1799.00
,,,,,,,,,2988.00
Gibson,,Mahogany,,Melody Maker,6 String,,Solid,Right-Handed,716.00
,,,,,,,,,2588.00
Gibson,,Mahogany,,Flying V,6 String,,Flying V,Right-Handed,920.99
,,,,,,,,,1733.00
Gibson,,,,,,,,,1727.00
Gibson,,,,,,,,,2700.00
Gibson,,,,,,,,,1768.00
Gibson,,,,,,,,,2750.00
Gibson,,,,,,,,,1699.00
Gibson,,Mahogany,,Les Paul Tribute,6 String,,Les Paul Tribute,Right-Handed,1167.99
,,,,,,,,,899.00
,,,,,,,,,1422.00
Gibson,,,Gibson Les Paul,Les Paul Standard,,,,,3299.00
Gibson,,Maple,,Les Paul Signature,6 String,Sunburst,Solid,,1562.00
Gibson,,,Gibson Les Paul,Custom,,Blue,,,3611.00
Gibson,,,,,,,,,1817.00
Gibson,,,,,,,,,8452.00
Gibson,,,,,,,,,5233.00
Gibson,,,,,,,,,3777.00
Gibson,,,,,,,,,2351.00
Gibson,2004,,,,6 String,Brown,Solid,Right-Handed,2050.00
Gibson Memphis,,,,,,,,,3321.00
Gibson Custom Shop,2010,All Mahogany,Gibson Les Paul,1957 R7 Les Paul Custom,6 String,Faded Cherry,Solid,Right-Handed,3588.00
GIBSON,,,,,,,,,5248.77
Greco,1981,,,,6 String,,,,1711.00
Gibson,2016,,Gibson Les Paul,Les Paul Traditional,,,,,1644.00
